title,company,city,skills,url,created_at
Fr/Jr. Software Engineer (.NET C# MySQL),ALTTEKGLOBAL-ATG CORPORATION Vietnam,Ho Chi Minh,"['\nASP.NET\n', '\nC#\n', '\nMySQL\n']",https://itviec.com/it-jobs/software-engineer-dev-net-c-mysql-alttekglobal-atg-corporation-5705?lab_feature=preview_jd_page,2022-07-13 17:10:10.259513
iOS Developer (Swift),"rakumo Co., Ltd Vietnam",Ho Chi Minh,"['\niOS\n', '\nSwift\n', '\nUI-UX\n', '\nFresher Accepted\n']",https://itviec.com/it-jobs/ios-developer-swift-rakumo-co-ltd-5904?lab_feature=preview_jd_page,2022-07-13 17:10:10.264002
Senior Back-end Engineer - Ruby on Rails,"VERTEX Technologies Co.,Ltd. Vietnam",Others,"['\nRuby on Rails\n', '\nMySQL\n', '\nRuby\n']",https://itviec.com/it-jobs/senior-back-end-engineer-ruby-on-rails-vertex-technologies-co-ltd-2125?lab_feature=preview_jd_page,2022-07-13 17:10:10.267183
Senior Front-end Engineer - React Native,"VERTEX Technologies Co.,Ltd. Vietnam",Others,"['\nReact Native\n', '\nTypeScript\n']",https://itviec.com/it-jobs/senior-front-end-engineer-react-native-vertex-technologies-co-ltd-3241?lab_feature=preview_jd_page,2022-07-13 17:10:10.269735
Python Developer (Salary 1500-2500$),LARION Vietnam,Ho Chi Minh,"['\nPython\n', '\nSQL\n']",https://itviec.com/it-jobs/python-developer-salary-1500-2500-larion-5110?lab_feature=preview_jd_page,2022-07-13 12:10:10.272393
Delivery Manager (Agile Project Manager),Katalon Vietnam,Ho Chi Minh,"['\nAgile\n', '\nProject Manager\n']",https://itviec.com/it-jobs/delivery-manager-agile-project-manager-katalon-2434?lab_feature=preview_jd_page,2022-07-13 12:10:10.275849
Project Manager (E-commerce),"CJ OLIVENETWORKS VINA CO., LTD Vietnam",Ho Chi Minh,"['\nProject Manager\n', '\nMagento\n', '\nEnglish\n']",https://itviec.com/it-jobs/project-manager-e-commerce-cj-olivenetworks-vina-co-ltd-1220?lab_feature=preview_jd_page,2022-07-13 12:10:10.278957
Fullstack PHP/ Python/ Ruby (1700-2500$),LARION Vietnam,Ho Chi Minh,"['\nPHP\n', '\nRuby on Rails\n', '\nPython\n']",https://itviec.com/it-jobs/fullstack-php-python-ruby-1700-2500-larion-4252?lab_feature=preview_jd_page,2022-07-13 11:10:10.282375
Data Scientist Assistant Manager,CIMB Bank Vietnam Vietnam,Ho Chi Minh,"['\nPython\n', '\nDatabase\n', '\nSQL\n']",https://itviec.com/it-jobs/data-scientist-assistant-manager-cimb-bank-vietnam-2729?lab_feature=preview_jd_page,2022-07-13 11:10:10.285810
[Urgent] Mid/Sr. Java Backend Dev (AWS),Travel and Pay Software Solutions Vietnam,Ho Chi Minh,"['\nJava\n', '\nAWS\n', '\nEnglish\n']",https://itviec.com/it-jobs/urgent-mid-sr-java-backend-dev-aws-travel-and-pay-software-solutions-2545?lab_feature=preview_jd_page,2022-07-13 11:10:10.289077
